date,k18,k21,k22,traditional
2007-07-31,1500,1690,1770,1500
2007-08-01,1500,1690,1770,1500
2007-08-02,1457,1641,1718,1457
2007-08-03,1457,1641,1718,1457
2007-08-04,1457,1641,1718,1457
2007-08-05,1457,1641,1718,1457
2007-08-06,1457,1641,1718,1457
2007-08-07,1457,1641,1718,1457
2007-08-08,1457,1641,1718,1457
2007-08-09,1457,1641,1718,1457
2007-08-10,1457,1641,1718,1457
2007-08-11,1457,1641,1718,1457
2007-08-12,1457,1641,1718,1457
2007-08-13,1457,1641,1718,1457
2007-08-14,1457,1641,1718,1457
2007-08-15,1457,1641,1718,1457
2007-08-16,1457,1641,1718,1457
2007-08-17,1457,1641,1718,1457
2007-08-18,1457,1641,1718,1457
2007-08-19,1457,1641,1718,1457
2007-08-20,1457,1641,1718,1457
2007-08-21,1457,1641,1718,1457
2007-08-22,1457,1641,1718,1457
2007-08-23,1457,1641,1718,1457
2007-08-24,1457,1641,1718,1457
2007-08-25,1457,1641,1718,1457
2007-08-26,1457,1641,1718,1457
2007-08-27,1457,1641,1718,1457
2007-08-28,1457,1641,1718,1457
2007-08-29,1457,1641,1718,1457
2007-08-30,1457,1641,1718,1457
2007-08-31,1457,1641,1718,1457
2007-09-01,1457,1641,1718,1457
2007-09-02,1457,1641,1718,1457
2007-09-03,1505,1690,1770,1457
2007-09-04,1505,1690,1770,1457
2007-09-05,1505,1690,1770,1457
2007-09-06,1505,1690,1770,1457
2007-09-07,1505,1690,1770,1457
2007-09-08,1505,1690,1770,1457
2007-09-09,1505,1690,1770,1457
2007-09-10,1505,1690,1770,1457
2007-09-11,1505,1690,1770,1457
2007-09-12,1505,1690,1770,1457
2007-09-13,1505,1690,1770,1457
2007-09-14,1505,1690,1770,1457
2007-09-15,1505,1690,1770,1457
2007-09-16,1505,1690,1770,1457
2007-09-17,1505,1690,1770,1457
2007-09-18,1505,1690,1770,1457
2007-09-19,1505,1690,1770,1457
2007-09-20,1505,1690,1770,1457
2007-09-21,1505,1690,1770,1457
2007-09-22,1505,1690,1770,1457
2007-09-23,1505,1690,1770,1457
2007-09-24,1505,1690,1770,1457
2007-09-25,1505,1690,1770,1457
2007-09-26,1505,1690,1770,1457
2007-09-27,1550,1735,1820,1457
2007-09-28,1550,1735,1820,1457
2007-09-29,1550,1735,1820,1457
2007-09-30,1550,1735,1820,1457
2007-10-01,1550,1735,1820,1457
2007-10-02,1550,1735,1820,1457
2007-10-03,1550,1735,1820,1457
2007-10-04,1550,1735,1820,1457
2007-10-05,1550,1735,1820,1457
2007-10-06,1550,1735,1820,1457
2007-10-07,1550,1735,1820,1457
2007-10-08,1550,1735,1820,1457
2007-10-09,1550,1735,1820,1457
2007-10-10,1550,1735,1820,1457
2007-10-11,1550,1735,1820,1457
2007-10-12,1550,1735,1820,1457
2007-10-13,1550,1735,1820,1457
2007-10-14,1550,1735,1820,1457
2007-10-15,1550,1735,1820,1457
2007-10-16,1550,1735,1820,1457
2007-10-17,1550,1735,1820,1457
2007-10-18,1550,1735,1820,1457
